canonical_smiles,pIC50
CC(=O)Oc1ccc(-c2cc3cc(OC(C)=O)c(OC(C)=O)cc3oc2=O)cc1OC(C)=O,4.749579997691106
CC(=O)Oc1ccc(C2Oc3cc(OC(C)=O)cc(O)c3C(=O)C2c2c(OC(C)=O)cc(O)c3c(=O)cc(-c4ccc(OC(C)=O)c(OC(C)=O)c4)oc23)cc1,3.2700257143004445
CC(=O)c1ccc2c(c1)N(C(C)=O)c1cc(C(C)=O)ccc1S2,4.308918507877031
CC(=O)c1ccc2c(c1)N(C(C)=O)c1cc(Cl)ccc1S2,3.39577394691553
CC(=O)c1ccc2c(c1)N(C(C)=O)c1ccccc1S2,2.5511391543925592
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1cc(C(C)=O)ccc1S2,3.3260580013659125
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1cc(Cl)ccc1S2,3.7569619513137056
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.2992962828549808
CC(=O)c1sc(C(C)(C)C)cc1NC(=O)c1ccccc1C(=O)O,3.5686362358410126
CC(=O)c1sccc1NC(=O)c1ccccc1C(=O)O,3.537602002101044
CC(=O)n1c(CCNC(=O)COc2ccc(Br)cc2)nc2ccccc21,5.00436480540245
CC(C)(C)/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,5.0
CC(C)(C)NCC(P(=O)(O)O)P(=O)(O)O,5.070256722847569
CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,3.675089268387717
CC(C)(C)OC(=O)NCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,3.704746268995709
CC(C)(C)OC(=O)NNC(=O)c1ccc([N+](=O)[O-])o1,4.301029995663981
CC(C)(C)[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,6.42021640338319
CC(C)(C)c1cc(NC(=O)c2nnc(-c3ccccc3N)o2)n[nH]1,5.698970004336019
CC(C)(C)c1cc2ncnc(NNC(=O)c3cccs3)c2s1,5.200659450546418
CC(C)(C)c1ccc(C[N+](C)(C)CCCN2c3ccccc3Sc3ccc(Cl)cc32)cc1,5.3872161432802645
CC(C)(C)c1ccc([N+](C)(C)CCCN)cc1,6.221848749616356
CC(C)(C)c1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,3.5214393741071595
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(-c3ccncc3)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,8.096910013008056
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(C3(C(=O)N4CCOCC4)CC3)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,8.522878745280337
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(C3(C(N)=O)CC3)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,8.522878745280337
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N,9.096910013008056
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N,6.73754891026957
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@@H](C#N)Cc1ccc(C#N)cc1F,7.769551078621726
